Country,NOC,Year,Bronze,Silver,Gold
Italy,ITA,2002,5,4,4
Italy,ITA,2006,6,0,5
Italy,ITA,2010,3,1,1
Japan,JPN,Total,15,13,9
Japan,JPN,1956,0,1,0
Japan,JPN,1972,1,1,1
Japan,JPN,1980,0,1,0
Japan,JPN,1984,0,1,0
Japan,JPN,1988,1,0,0
Japan,JPN,1992,4,2,1
Japan,JPN,1994,2,2,1
Japan,JPN,1998,4,1,5
Japan,JPN,2002,1,1,0
Japan,JPN,2006,0,0,1
Japan,JPN,2010,2,3,0
Kazakhstan,KAZ,Total,2,3,1
Kazakhstan,KAZ,1994,0,2,1
Kazakhstan,KAZ,1998,2,0,0
Kazakhstan,KAZ,2010,0,1,0
"Korea, North (PDR of Korea)",PRK,Total,1,1,0
"Korea, North (PDR of Korea)",PRK,1964,0,1,0
"Korea, North (PDR of Korea)",PRK,1992,1,0,0
"Korea, South",KOR,Total,8,14,23
"Korea, South",KOR,1992,1,1,2
"Korea, South",KOR,1994,1,1,4
"Korea, South",KOR,1998,2,1,3
"Korea, South",KOR,2002,0,2,2
"Korea, South",KOR,2006,2,3,6
"Korea, South",KOR,2010,2,6,6
Latvia,LAT,Total,1,2,0
Latvia,LAT,2006,1,0,0
Latvia,LAT,2010,0,2,0
Liechtenstein,LIE,Total,5,2,2
Liechtenstein,LIE,1976,2,0,0
Liechtenstein,LIE,1980,0,2,2
Liechtenstein,LIE,1984,2,0,0
Liechtenstein,LIE,1988,1,0,0
Luxembourg,LUX,Total,0,2,0
Luxembourg,LUX,1992,0,2,0
Netherlands,NED,Total,26,31,29
Netherlands,NED,1952,0,3,0
Netherlands,NED,1960,1,1,0
Netherlands,NED,1964,0,1,1
Netherlands,NED,1968,3,3,3
Netherlands,NED,1972,2,3,4
Netherlands,NED,1976,3,2,1
Netherlands,NED,1980,1,2,1
Netherlands,NED,1988,2,2,3
Netherlands,NED,1992,2,1,1
Netherlands,NED,1994,3,1,0
Netherlands,NED,1998,2,4,5
Netherlands,NED,2002,0,5,3
Netherlands,NED,2006,4,2,3
Netherlands,NED,2010,3,1,4
New Zealand,NZL,Total,0,1,0
New Zealand,NZL,1992,0,1,0
Norway,NOR,Total,90,106,107
Norway,NOR,1924,6,7,4
Norway,NOR,1928,5,4,6
Norway,NOR,1932,3,4,3
